Number,Type,Nature/AI,Source,Premise,Hypothesis,Res
1,positive,Nature,刘震云/一句顶一万句,牛爱国忘记了庞丽娜出事，似乎还是两人在一起的时候，牛爱国喊：“快来。迟了就来不及了。”庞丽娜从人群中往他身边挤。待挤到跟前，却不是庞丽娜，而是沁源县城西街“东亚婚纱摄影城”的小蒋。,"A.牛爱国知道庞丽娜出事。
B.庞丽娜在路上出车祸了。
C.牛爱国看到了庞丽娜。
D.庞丽娜还和牛爱国在一起。",A
2,positive,Nature,浩然/夏青苗求师,晌午，他们赶到大平台打盘。他们把羊圈在一个阴凉的角落，羊儿叫唤着，老老实实地卧在松软的草地上。青苗跟杜大叔也来到一棵大树下边，一面歇息，一面吃干粮。,"A.青苗跟杜大叔之前不在这棵大树下。
B.青苗跟杜大叔是骑马来的。
C.青苗和杜大叔没有歇息。
D.羊儿没叫。",A
3,positive,Nature,刘震云/故乡天下黄花,村长许布袋，还是整日打兔子，一次老贾批评他，批评他工作落后，这个许布袋，年轻时也是个杀人不眨眼的家伙，硬是低着头听老贾训了他一顿话。,"A.许布袋工作落后。
B.许布袋进过监狱。
C.许布袋整日打老虎。
D.许布袋不听老贾的训话。",A
4,positive,Nature,余华/河边的错误,么四婆婆的呼唤尽管十分亲切，可显然已经徒劳了，于是她开始“嘘嘘”地叫了起来，同时手里的竹竿也挥动了，聚集在她身旁的那些鹅立刻散了开去。,"A.么四婆婆之前没有“嘘嘘”地叫。
B.么四婆婆的叫声很好听。
C.么四婆婆没有挥动竹竿。
D.鹅没有散开。",A
5,positive,Nature,邓友梅 《邓友梅选集》出版说明,自从当记者之后，那五自己在南城租了间小房，和紫云断绝了来往。,"A.那五曾与紫云来往。
B.紫云不让那五做记者。
C.那五在北城租了间小房。
D.那五在北城租了房。",A
6,positive,Nature,余华 女人的胜利,他这样对他的朋友们说，为了使自己的话更为真实可信，他开始举例说明。郭滨举例的时候，正坐在椅子里，他站起来走到门前，然后转过身来，看着他的三个朋友，他说了。,"A.在此之前，他没有举例说明。
B.他举了他妈妈的例子说明这件事。
C.郭滨从头到尾都背对着他的三个朋友。
D.他没有站起来走到门前。",A
7,positive,Nature,曲波 林海雪原,少剑波在战士们的欢笑中，第一个撑动了滑雪杖，碰巧正赶上一个斜坡，所以就摔了一跤。,"A.少剑波没有想到会赶上一个斜坡。
B.战士们在嘲笑少剑波。
C.少剑波最后一个撑动了滑雪杆。
D.少剑波没有摔跤。",A
8,positive,Nature,杜鹏程 保卫延安,虽然，卫毅已经停止呼吸，心脏也不再跳动，可是李诚总觉得他没有死。,"A.卫毅之前还有呼吸。
B.卫毅遭遇了车祸。
C.卫毅的心脏还在跳动。
D.李诚觉得他死了。",A
9,positive,Nature,巴金 家,淑华、淑贞两姊妹受到琴的鼓舞，都下了决心要继续读书，经过几次的要求，居然都得到了母亲的许可。,"A.淑华、淑贞之前有在读书。
B.淑华、淑贞两姊妹家庭有变故。
C.母亲没有许可两姊妹的要求。
D.淑华、淑贞两姊妹没有受到琴的鼓舞。",A
10,positive,Nature,刘慈欣 三体II,车修好后，罗辑立刻全速向回开，在夜色中冲出群山再次回到大平原上。清晨时他到达石家庄，回到北京时已是上午十点了。,"A.罗辑清晨之前不在石家庄。
B.逻辑的车撞到了人。
C.罗辑的车没有修好。
D.逻辑回到北京是中午十二点。",A
11,positive,Nature,巴金 家,这个消息给觉民带来大的快乐。他们兴奋地交谈了几句话，便匆匆忙忙地离开了黄存仁的家。,"A.他们之前在黄存仁的家。
B.觉明得知了自己能上大学的消息。
C.他们没有交谈。
D.他们还在黄存仁家。",A
12,positive,Nature,余华/在细雨中呼喊,拥有同样神态的新郎，显然已经忘记了几天前是如何被冯玉青紧紧抱住的，他神采飞扬地走来时，右手十分笨拙地向我们挥舞着。,"A.新郎几天前被冯玉青紧紧抱住了。
B.新郎不爱新娘。
C.新郎无精打采。
D.新郎挥舞着左手。",A
