Number,Type,Nature/AI,Source,Premise,Hypothesis,Res,
1,positive,Nature,鲁迅 孔乙己,孔乙己是站着喝酒而穿长衫的唯一的人。他身材很高大；青白脸色，皱纹间时常夹些伤痕；一部乱蓬蓬的花白的胡子。,"A.孔乙己穿着衣服。
B.孔乙己穿着灰色长衫。
C.孔乙己身材矮小。
D.孔乙己坐着喝酒。",A,
2,positive,Nature,张爱玲 倾城之恋,你把我那儿的新茶叶拿出来，给徐太太泡一碗，绿洋铁筒子里的是大姑奶奶去年带来的龙井，高罐儿里的是碧螺春，别弄错了。,"A.绿洋铁筒子里是茶叶。
B.绿洋铁筒子里是西湖龙井。
C.绿洋铁筒子里的龙井是大姑奶奶前年带来的。
D.高罐儿里的是龙井。",A,
3,positive,Nature,张爱玲 倾城之恋,住定了，方才发现，饭店里储藏虽富，都是留着给兵吃的。除了罐头装的牛乳，牛羊肉，水果之外，还有一麻袋一麻袋的白面包，麸皮面包。分配给客人的，每餐只有两块苏打饼干，或是两块方糖，饿的大家奄奄一息。,"A.饭店分配给客人食物。
B.饭店分配给客人椒盐味苏打饼干。
C.饭店里有鲜切的牛羊肉，水果。
D.饭店里没有面包。",A,
4,positive,Nature,张爱玲 金锁记,窗外还是那使人汗毛凛凛的反常的明月。屋里看得分明那玫瑰紫绣花椅披桌布，大红平金五凤齐飞的围屏，水红软缎对联，绣着盘花篆字。梳妆台上红绿丝网络着银粉缸，银漱盂，银花瓶，里面满满盛着喜果。,"A.屋里有家具。
B.屋里有檀木梳妆台。
C.窗外没有明月。
D.椅披桌布是蓝色的。",A,
5,positive,Nature,张爱玲 金锁记,长安悄悄地走下楼来，玄色花绣鞋与白丝袜停留在日色昏黄的楼梯上。停了一会，又上去了。一级一级，走进没有光的所在。,"A.长安穿了袜子。
B.长安穿着白色长丝袜。
C.长安大张旗鼓地走下楼。
D.长安下楼后没有再上楼。",A,
6,positive,Nature,刘震云 一句顶一万句,河上有一座桥，桥上桥下，皆是挑担的、推车的、卖菜的、卖肉的 、卖果子的、卖杂货的；县城有几只大喇叭，里面播着豫剧、曲剧和二夹弦。,"A.桥上桥下有摊贩。
B.桥上桥下有卖糖葫芦的。
C.县城的小喇叭播着豫剧、曲剧和二夹弦。
D.河上的桥倒塌了。",A,
7,positive,Nature,马烽_西戎 吕梁英雄传,全家人吓得大哭，跪下一地求告。王怀当骂了一顿，把人放了，把牛拉走了。带着村警，又到别的养牲畜人家去拾翻。,"A.王怀当把牲口拉走了。
B.王怀当把老黄牛拉走了。
C.全家人吓得大哭，但拒绝下跪。
D.王怀当没有到别的养牲畜人家去拾翻。",A,
8,positive,Nature,宗璞 红豆,他在钢琴旁边坐下了，冰冷的琴键在他的弹奏下发出了那样柔软热情的声音。换上别的人，脸上一定会带上一种迷醉的表情，可是齐虹神采飞扬，目光清澈，仿佛现实这时才在他眼前打开似的。,"A.他在乐器旁边坐下了。
B.他在三角钢琴旁边坐下了。
C.换上别的人，脸上一定会带上一种厌恶的表情。
D.齐虹目光呆滞。",A,
9,positive,Nature,夏衍 脂粉市场,她把报纸丢在地上，又拿起一个苹果在手里摆弄着，她感到心烦意乱。,"A.她拿起了一个水果在手里摆弄着。
B.她拿起了一个红苹果在手里摆弄着。
C.她把报纸丢在床上。
D.她感到安心。",A,
10,positive,Nature,杨沫 青春之歌,早晨，道静带着一夜不眠的倦怠，刚刚起来洗过了脸，胡梦安又走了进来。他穿着漂亮的咖啡色西装，一只手提着大皮包，一只手拿着一束鲜艳的玫瑰花。,"A.胡梦安一只手拿着一束花。
B.胡梦安一只手拿着一束红玫瑰。
C.胡梦安穿着漂亮的蓝色西装。
D.胡梦安没有拿皮包。",A,
11,positive,Nature,吴强 红日,谢家声从姚月琴的身上取下皮包来。姚月琴默默地缓慢地从衣袋里拿出钥匙，开了皮包，把密码本子给谢家声看了一下，然后拿出自己的零星东西，把皮包、钥匙、密码本子交给了谢家声。,"A.谢家声从姚月琴的身上取下包来。
B.谢家声从姚月琴的身上取下鳄鱼皮包来。
C.姚月琴默默地飞速地从衣袋里拿出钥匙。
D.姚月琴没有把密码本子给谢家声看。",A,
12,positive,Nature,巴金 家,这个水阁一排共是三大间房屋，这是中间的一间。接着又来了几个仆人和女佣，他们连忙把旁边两间屋子收拾作临时住房，一间给男主人住，另一间给女主人住。,"A.这个水阁一排共是三大间建筑。
B.这个水阁一排共是三大间木屋。
C.接着又来了几个仆人和男佣。
D.他们没有把旁边两间屋子收拾作临时住房。",A,
13,positive,Nature,马烽_西戎 吕梁英雄传,日本军官没答话，只是鼻子里“嗯”了一声，便跳下马来，带着日军进了村公所，伪村公所的人员也顺屁股跟了进来。大厅里，桌子上早摆下了好多纸烟、瓜子……，伪人员们忙着点火倒茶。,"A.桌子上早摆下了零食。
B.桌子上早摆下了话梅味瓜子。
C.日本军官快速答话。
D.伪村公所的人员没有跟进来。",A,
14,positive,Nature,苏童 妇女生活,房门轻轻地打开了，娴不用回头就知道她母亲站在身后，娴仍然吃着鸡腿。,"A.娴仍然吃着鸡肉。
B.娴仍然吃着烟熏鸡腿。
C.房门重重地打开了。
D.娴不知道她母亲站在身后。",A,
15,positive,Nature,老舍 无名高地有了名,他们不仅医治自己的伤员，也照顾受伤的俘虏。看着俘虏们得到治疗，拿起蛋糕来吃，他们感到快活——他们执行了宽待俘虏的政策。,"A.俘虏们拿起点心来吃。
B.俘虏们拿起奶油蛋糕来吃。
C.他们拒绝医治自己的伤员。
D.他们不照顾受伤的俘虏。",A,
16,positive,Nature,梁斌 红旗谱,严志和听得说，猛地打了个冷颤，才想起面前放的那碗面。懵懵懂懂地端起碗来，拿起烟锅就往嘴里拔面条。国难家仇集于一身，他已经认不清醒了。,"A.严志和听得说，猛地打了个冷颤，才想起面前放的那碗面食。
B.严志和听得说，猛地打了个冷颤，才想起面前放的那碗长面。
C.严志和拿起烟锅就把面条倒了。
D.严志和很清醒。",A,
17,positive,Nature,铁凝 大浴女,他像个主人一样问她说你找谁。她似有意似无意地甩甩头发，一股淡淡的柠檬香味儿飘过来。,"A.一股淡淡的水果香味儿飘过来。
B.一股淡淡的青柠檬香味儿飘过来。
C.她一动不动。
D.他没有跟她说话。",A,
18,positive,Nature,刘震云/一句顶一万句,老高三十来岁，每天守在火炉前，锻造些银的手镯、戒指、耳坠、簪子、孩子狗 头帽上的铃铛、虎头鞋上的镶脸等。延津有两个银饰铺，另一个银匠是县城南街的老曹。,"A.老高锻造银首饰。
B.老高锻造缠花银首饰。
C.老高三十岁不到。
D.延津只有一个银饰铺。",A,
19,positive,Nature,刘震云/一句顶一万句,老姜忙到街上买了豁嘴老冯一只兔腿，递给巧玲，又被吴香香从巧玲手里一把夺过来，摔到门外，倒是被狗给叼跑吃了。,"A.兔腿被动物给叼跑吃了。
B.兔腿被大黄狗给叼跑吃了。
C.老姜忙到街上买了豁嘴老冯两只兔腿。
D.吴香香没有从巧玲手里夺过来兔腿。",A,
20,positive,Nature,刘震云/一地鸡毛,保姆不吃剩饭，你再熬点新粥也就罢了，谁知她正在用给女儿做饭的小锅下挂面，进屋一股香气，她加了香菜，加了豆腐干，还卧了一个鸡蛋。,"A.保姆在挂面里加了豆制品。
B.保姆在挂面里加了卤豆腐干。
C.保姆正在用给女儿做饭的大锅下挂面。
D.保姆没有加香菜。",A,
21,positive,Nature,刘震云/一句顶一万句,吴摩西在十字街头卖馒头时，老詹还常到摊上买馒头。虽然已脱开了师徒关系，但吴摩西仍叫他“师傅 ”。,"A.吴摩西在十字街头卖馒头时，老詹还常到摊上买面食。
B.吴摩西在十字街头卖馒头时，老詹还常到摊上买白面馒头。
C.吴摩西和老詹还是师徒关系。
D.吴摩西不再叫老詹“师傅 ”。",A,
22,positive,Nature,刘震云/一句顶一万句,路过集市时，小温让老曹停车，买了半腔羊，一筐山桃，又买了两坛子酒；没买“桃花村”的，买的是“杏花村”的；“杏花村”的酒，还是比周家庄小周家的“桃花村”酒味醇。,"A.小温买了一筐水果。
B.小温买了一筐毛山桃。
C.“杏花村”的酒不如周家庄小周家的“桃花村”酒味醇。
D.小温买了“桃花村”的酒。",A,
23,positive,Nature,巴金 家,风刮得很紧，雪片像扯破了的棉絮一样在空中飞舞，没有目的地四处飘落。左右两边墙脚各有一条白色的路，好像给中间满是水泥的石板路镶了两道宽边。街上有行人和两人抬的轿子。,"A.左右两边墙脚各有一条路。
B.左右两边墙脚各有一条白色的石子路。
C.风很小。
D.街上没有人。",A,
24,positive,Nature,张爱玲 倾城之恋,正中天然几上，玻璃罩子里，搁着珐琅自鸣钟，机括早坏了，停了多年。,"A.玻璃罩子里，搁着自鸣钟。
B.玻璃罩子里，搁着掐丝珐琅自鸣钟。
C.珐琅自鸣钟在饭桌上。
D.珐琅自鸣钟的机括没坏。",A,
25,positive,Nature,刘震云 官人,当时秃头正在掉头发，老张也正在掉头发，两人为了共同寻找治秃头的办法，没少一块坐车跑，后来成了莫逆之交。,"A.秃头和老张为了共同寻找治病的办法，没少一块坐车跑。
B.秃头和老张为了共同寻找治斑秃的办法，没少一块坐车跑。
C.秃头和老张不熟。
D.当时秃头不掉头发。",A,
26,positive,Nature,安顿 绝对隐私,我在公司做得很好，本来我是学计算机的，因为我的工作出色，几个月以后就买了一台电脑给我一个人用，我编了一些材料管理之类的程序。,"A.因为我的工作出色，几个月以后就买了一台电子设备给我一个人用。
B.因为我的工作出色，几个月以后就买了一台苹果电脑给我一个人用
C.我编了一些账目计算的程序。
D.我在公司做得不好。",A,
