Number,Type,Nature/AI,Source,Premise,Hypothesis,Res,
1,positive,AI,,圣诞节即将来临，小明需要帮妈妈装饰5棵圣诞树。一个小时后，小明帮妈妈装饰了一些圣诞树。,"A.小明装饰了4棵圣诞树。
B.小明装饰了5棵圣诞树。
C.圣诞树不需要装饰。
D.今天是圣诞节。",A,
2,positive,AI,,春节到了，张三需要帮妈妈贴9副春联。过了一会儿，张三贴了一些春联。,"A.张三贴了8副春联。
B.张三贴了9副春联。
C.张三家春节不贴春联。
D.春节还没到。",A,
3,positive,AI,,餐桌上有4块牛排，小李切了一些牛排。牛排很有营养，妈妈特别买来给小李补身体。,"A.小李切了3块牛排。
B.小李切了4块牛排。
C.牛排没有营养。
D.牛排是别人送的。",A,
4,positive,AI,,班级大扫除开始了，小红需要擦10扇窗户。几个小时后，小红擦了一些窗户。她站在桌子上擦最上面的一扇窗户。,"A.小红擦了8扇窗户。
B.小红擦了10扇窗户。
C.班级正在考试。
D.小红没有站在桌子上。",A,
5,positive,AI,,老师要求小兰背诵5首古诗。周末结束，小兰背了一些古诗，她觉得背古诗很有意思。,"A.小兰背了3首古诗。
B.小兰背了5首古诗。
C.老师布置了抄写作业。
D.小兰觉得背古诗没有意思。",A,
6,positive,AI,,社区义务劳动，小李要清理8个垃圾桶。下午时分，小李清理了一些垃圾桶。,"A.小李清理了6个垃圾桶。
B.小李清理了8个垃圾桶。
C.小李拒绝参加社区义务劳动。
D.小李在夜晚清理垃圾桶。",A,
7,positive,AI,,手工课上，老师让大家制作6个纸灯笼。下课铃响，小王制作了一些纸灯笼。,"A.小王制作了4个纸灯笼。
B.小王制作了6个纸灯笼。
C.手工课上老师让大家写数学作业。
D.手工课上老师让大家制作丝绸灯笼。",A,
8,positive,AI,,果园采摘，小张要采摘15个苹果。傍晚收工，小张采摘了一些苹果。,"A.小张采摘了12个苹果。
B.小张采摘了15个苹果。
C.果园里面不能采摘苹果。
D.小张一直到深夜才手工。",A,
9,positive,AI,,图书整理活动，志愿者小赵要整理20本图书。半天过去，小赵整理了一些图书，累得要死。,"A.小赵整理了13本图书。
B.小赵整理了20本图书。
C.小赵不是志愿者。
D,小赵一点也不累。",A,
10,positive,AI,,"运动会筹备，班级需要12箱矿泉水。一天后，体育委员准备了一些矿泉水,花了不少班费。","A.体育委员准备了9箱矿泉水。
B.体育委员准备了12箱矿泉水。
C.体育委员不参加运动会筹备
D.体育委员没有花班费。",A,
